id,title,upload_date,plays_count,likes_count,reposts_count,comments_count,tags,url
17049890,Bao Thy 2B - Cong Chua Bong Bong,13 June 2011,229783,1141,50,23,,https://soundcloud.com/pedowl/bao-thy-2b-cong-chua-bong-bong
250989638,Người và Ta (feat. Thanh Huyền),9 March 2016,3655783,33154,3895,508,"Ballad, rhymastic, thanhhuyen, nguoivata, mit, com",https://soundcloud.com/youngcrizzal/nguoi-va-ta-feat-thanh-huyen
251634725,Nguoi Va Ta,13 March 2016,8467,19,3,0,,https://soundcloud.com/dohoangduongofficial/nguoi-va-ta
238975068,TIÊN COOKIE - Tâm sự với người lạ,25 December 2015,1635859,12680,840,89,"tiencookie, tamsuvoinguoila",https://soundcloud.com/cookient2/tien-cookie-tam-su-voi-nguoi-la
170627998,Người! Nỗi buồn và Ta - Thanh Ngọc,5 October 2014,20219,140,11,0,favourite,https://soundcloud.com/tiramisu-homez/nguoi-noi-buon-va-ta-thanh-ngoc
242481341,Sex Boom (Bôn Remix 2014) [FREE DOWLOAD],18 January 2016,23829,1524,1120,1326,vinahouse,https://soundcloud.com/b-sonix/sex-boom-bon-remix
207017142,Nonstop 2015 - Music To Fly Vol 1 - Hieu Silver In The Mixxx,25 May 2015,570091,9119,1013,256,"Flyy, Minh Hieuu, Vinahouse",https://soundcloud.com/silver-deezay/nonstop-2015-music-to-fly-vol-1-hieu-silver-in-the-mixxx
244906414,Vina Super F*cking House #3,1 February 2016,36475,826,69,39,"Vinahouse, ThienHi, Nocomment, Fuckinghouse3, Relax, Cotiproblem, Kethoi, Lambiengthaulai, Djthienhi, asiadancetv",https://soundcloud.com/thienhiofficial/vina-super-fcking-house-3
234178983,Vina Super F*cking House #2,22 November 2015,97810,1772,158,71,"thienhi, fuckinghouse, thangbinh, xapxinh, vailin, wtf",https://soundcloud.com/thienhiofficial/vina-super-fcking-house-2
198749433,Vina Super F*cking House.........,1 April 2015,1566571,22089,1630,472,"vinahouse, thienhi, asiadancetv, vina, house, 2015, djthienhi, pinkrabbit, ihome",https://soundcloud.com/thienhiofficial/vina-super-fcking-house
325133526,Min x Mr.A - CÓ EM CHỜ ( TINLE RMX),30 May 2017,618426,6240,769,68,Dance & EDM,https://soundcloud.com/tinle-producer/min-x-mra-co-em-cho-tinle-rmx
318038275,DUONG XUA (Quoc Dung)Phạm Hoài Nam 2015,17 April 2017,72169,550,25,6,"Pop, 2016, PhamHoaiNam",https://soundcloud.com/ph-m-ho-i-nam-429773753/duong-xua-quoc-dungpham-hoai-nam
367164284,Xin Lỗi - Nguyên Hà,9 December 2017,669837,7335,275,51,Nhạc Trẻ,https://soundcloud.com/izzy89/xin-loi-nguyen-ha
235034385,"Anh Sẽ Tốt Mà - Phạm Hồng Phước, Thùy Chi [320kbps]",28 November 2015,65021,348,34,0,"anh sẽ tốt mà, phạm hồng phước, thùy chi",https://soundcloud.com/huy-sike/anh-se-tot-ma-pham-hong-phuoc-thuy-chi-320kbps
352000658,Cho Em - Anh Tu,7 November 2017,4889,46,2,0,Acoustic,https://soundcloud.com/b-nh-47/cho-em-anh-tu
407019363,[Original] Điều ta viết mùa xa nhau - Tiên Fami & Đoàn Minh Quân,1 March 2018,1477597,16287,1004,248,"Indie, indie, Popballad, tienfami, doanminhquan",https://soundcloud.com/ti-n-fami/dieu-ta-viet-mua-xa-nhau-original
125394152,Em Cua Ngay Hom Qua - Son Tung M TP,18 December 2013,374666,1955,234,30,,https://soundcloud.com/zuby-pham/em-cua-ngay-hom-qua-son-tung-m
27151329,Từ ngày anh đi - Hồ Ngọc Hà,4 November 2011,2214,13,1,0,Pop,https://soundcloud.com/akira92414/t-ng-y-anh-i-h-ng-c-h
55927275,''Skelly Heart'' A Minecraft Parody of GYM Class Heroes' ''Stereo Hearts'',11 August 2012,1067276,10901,856,982,"Pop, HuntedFlamed, Hunted, Flame, HuntedFlame, Skelly, Heart, SkellyHeart, parody, minecraft, music, video, mine, craft, gym, class, heroes, stereo, hearts",https://soundcloud.com/huntedflame/skelly-heart-a-minecraft
65256605,Nightcore - Stereo heart,30 October 2012,3645970,43812,1443,778,,https://soundcloud.com/igalaxyx3/nightcore-stereo-heart
72451921,Nightcore - Angel of Darkness,25 December 2012,16920952,133640,6937,4952,"Nightcore, Nightcore, Angel, of, Darkness",https://soundcloud.com/nightcore-3/nightcore-angel-of-darkness
191081952,"Hát cho đời và hát cho em- Thơm, Đen, Long, Thỏ",14 February 2015,1314811,11714,1223,157,"Rap, JGKiD, Đen, Emcee L, Rabbit Run, AER, Da LAB, SOS Studio, Đa sắc, Reggae Việt, Reggae",https://soundcloud.com/jgkid/hat-cho-doi-va-hat-cho-em-thom-den-long-tho
201070456,Kệ Mẹ Vậy Đi - Emcee L (Đa Sắc Band),16 April 2015,128546,949,129,23,"Rap, Reggae, emcee l, đa sắc, das, sos records, Ke me vay di, kệ mẹ vậy đi, SOS Studio, Hip Hop",https://soundcloud.com/nguyen-hoang-long/ke-me-vay-di-emcee-l-da-sac-band
272116514,AI CHỜ AI - FloD ft. M! (cover by Thaoboy),4 July 2016,41658,264,48,4,acoustic,https://soundcloud.com/l-th-o-10/ai-cho-ai-flod-ft-m-cover-by-thaoboy
264822464,"[Official track] Bài ca tuổi trẻ - Tam ka Thơm, Long, Khoa",19 May 2016,2973412,27968,3245,496,"Reggae, Reggae Vietnam, Tu Te Show, Tu Te 6, Anhemrap, JGKiD, EmceeL, KraziNoyze, Da LAB, Da Sac, SD Records, SOS Studio",https://soundcloud.com/jgkid/official-track-bai-ca-tuoi-tre-tam-ka-thom-long-khoa
276963903,Vicetone - Anywhere I Go,5 August 2016,937642,17170,2513,287,"Dance & EDM, Electronic Music, Dance Music, Vicetone, AnywhereIGo, Spinnin",https://soundcloud.com/vicetone/anywhere-i-go
222315293,Crush,4 September 2015,2159016,36169,4973,174,"tropical, Chill, lounge, campsitedream",https://soundcloud.com/campsitedream/crush
250711755,The Chainsmokers - Don't Let Me Down (Illenium Remix),8 March 2016,129370879,2053151,161488,21997,"Dance & EDM, dance, Edm, melodic, porter robinson, odesza, dubstep, Trance, chill, step, vanic, skrux, adventure club, illenium, chainsmokers, daya, remix, hipster",https://soundcloud.com/illeniumofficial/the-chainsmokers-dont-let-me-down-illenium-remix
257939729,The Chainsmokers ft. Daya - Don't Let Me Down (W&W Remix),8 April 2016,39781732,654125,41460,6731,"Dance & EDM, The Chainsmokers, Don't Let Me Down, W&W, Remix",https://soundcloud.com/wandw/the-chainsmokers-ft-daya-dont-let-me-down-ww-remix-1
