id,title,create_date,likes_count,reposts_count,tracks_count,total_playtime,tags,url
310220741,Chill MIx (High On Chill),25 March 2017,51153,4521,48,3:21:36,Chill,https://soundcloud.com/jataus/sets/chill-mix-1
275675917,Chill,15 November 2016,8984,688,37,2:10:27,Chill,https://soundcloud.com/iijeriichoii/sets/chill
1325857303,CHILL,4 October 2021,1,0,283,17:53:37,,https://soundcloud.com/michael-modestino/sets/chill
1321057912,Chill,24 September 2021,0,0,90,4:02:33,,https://soundcloud.com/gregms/sets/chill
236275759,Chill,3 January 2017,126,12,874,29:37:00,,https://soundcloud.com/zapoco/sets/chill
,Chill,11 June 2016,135,8,756,32:09:03,,https://soundcloud.com/mckenzie-wilson-14/sets/chill
963032419,Chill,10 January 2020,4,0,72,5:10:28,,https://soundcloud.com/clarissa-evans-674223736/sets/chill
947393803,Chill´19,18 December 2019,6,1,486,33:55:37,,https://soundcloud.com/bennightmare-1/sets/chill-19
,chill,13 March 2015,142,12,15,42:32,,https://soundcloud.com/jack-maded-tansley/sets/chill
108047902,Chill,3 October 2016,43,4,440,28:34:11,,https://soundcloud.com/rigade/sets/chill
256674484,Chill,10 March 2018,10,0,470,50:31:37,,https://soundcloud.com/nadja-sihlberg/sets/chill
,Chill,28 February 2016,17,3,582,20:49:20,,https://soundcloud.com/elexis-guzman/sets/chill
167239868,Chill,20 November 2015,45,3,700,34:05:51,Electronic,https://soundcloud.com/taylanozkn/sets/taylan
327443535,"Wake up, Chill, Repeat",1 June 2017,36106,2945,46,2:50:50,"Chill, Relax, Summer",https://soundcloud.com/samsaunders23/sets/wake-up-chill-repeat
,Chill,20 November 2013,63,8,607,99:58:58,,https://soundcloud.com/jannikartuso/sets/chill
191618242,chill,1 February 2016,55,3,283,15:30:18,"Hip Hop, Freestyle Hip Hop",https://soundcloud.com/nupeonwallstreet/sets/chill
55837742,Chill,20 October 2014,14,0,59,4:44:19,"Electronic, House, Electro House",https://soundcloud.com/juuunte/sets/chill
214765771,Chill,11 April 2016,3,0,6,20:37,,https://soundcloud.com/anneta-wijaya-765357077/sets/chill
546710796,Chill,16 October 2021,0,0,454,55:47:39,,https://soundcloud.com/jack-carlyle-713337596/sets/chill
282530614,chill,11 December 2016,77,5,127,7:13:49,,https://soundcloud.com/tony-richard-garcia/sets/chill
1240696174,Chill,11 April 2021,2,0,467,23:05:50,,https://soundcloud.com/user-76045498/sets/chill
54811573,Lounge / Chill / Deep #1,12 August 2021,37641,2982,100,6:34:52,"Deep House, Deep House, chill, deephouse, lounge, House, Deep, smooth, chilling, relax, slow, soft, chillhouse, funky, funk, groove, nu, disco, beach, Nudisco, Dirty, Chill, Groove, loungehouse, Dance, Dance Pop, bangers, slaps, bass, groovehouse, beach house",https://soundcloud.com/davy-jones/sets/loundge-chill-deep
,Chill,16 February 2018,11,0,485,32:33:16,,https://soundcloud.com/ty-schlenz/sets/chill
582267840,chill,14 August 2018,0,0,497,39:17:21,,https://soundcloud.com/mohamed-andalieb/sets/chill
1337342917,#chill,27 October 2021,0,0,144,11:13:29,,https://soundcloud.com/denxhei/sets/chill
104226047,Best Deep House / Chill Music 2015 [New Summer Tropical Mix],4 May 2015,48222,7155,15,52:17,"Electronic, House, Chill, Deep-House, Chillout, EDM, Electro, Mix, Best, Top",https://soundcloud.com/jasonlaville/sets/best-deep-house-chill-music
1338946018,Chill,30 October 2021,0,0,48,2:35:05,,https://soundcloud.com/user-473999556/sets/chill
,Chill,4 September 2013,1386,473,380,30:07:39,,https://soundcloud.com/chillcall/sets/chill
,Chill,25 June 2014,70,6,502,35:39:02,,https://soundcloud.com/d-vibe-3/sets/chill
,Chill,6 January 2014,11,2,364,86:29:37,,https://soundcloud.com/jennifer-delage/sets/chill
681633444,Chill,9 January 2019,2,0,14,58:22,,https://soundcloud.com/user-911204513/sets/chill
164697460,Chill,12 November 2015,0,0,178,11:47:12,,https://soundcloud.com/jaewolfsy/sets/chill
1115385226,Chill,27 August 2020,3,0,11,22:43,,https://soundcloud.com/user-425991023/sets/chill
728553000,Fresh Pop Picks: Ear Candy,14 March 2019,94686,4062,50,1:23:49,"Pop, Ear Candy, Shine",https://soundcloud.com/soundcloud-shine/sets/ear-candy-fresh-pop-picks
454981347,Fresh Pressed Tracks,23 February 2018,89118,6493,73,2:07:41,"SCFIRST, Hip Hop, R&B, Pop, Alternative, Indie, Electronic, Dance, EDM",https://soundcloud.com/fresh-pressed/sets/fresh-pressed-tracks
315781489,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 1,16 April 2017,69498,4459,16,55:27,"Folk & Singer-Songwriter, Indie, Acoustic, Acoustic Pop, Folk, Singer-Songwriter, Pop-Folk, Pop, Indie Pop, Relax, Chill, alexrainbirdMusic",https://soundcloud.com/alexrainbirdmusic/sets/relaxing-sunday-mornings-an
1052484982,Pop,17 May 2020,9456,607,33,26:09,"Hip-hop & Rap, Pop Smoke, Pop, Smoke",https://soundcloud.com/pop-smoke-12345/sets/pop-smoke
,pop,26 October 2021,0,0,188,15:33:46,,https://soundcloud.com/diio-711537771/sets/pop
,pop,4 September 2018,24,1,440,335:08:08,,https://soundcloud.com/bobby-satria-953458970/sets/pop
355562833,pop,26 September 2017,949,86,427,24:38:25,,https://soundcloud.com/mechelle-schmidt-morgan/sets/pop
867544853,pop,13 September 2019,5,0,487,43:10:47,,https://soundcloud.com/nona-noor-3278261/sets/pop
,pop,22 September 2018,16,1,404,31:34:25,,https://soundcloud.com/dessy-evollove-ndesz/sets/pop
765041922,Best Country Now: Backroads,26 April 2019,15825,579,101,1:40:27,"Country, Pop, Backroads",https://soundcloud.com/soundcloud-shine/sets/backroads-best-country-now
,PopPop's Groove,5 September 2015,5,0,361,43:52:09,,https://soundcloud.com/michael-dawkins-441629250/sets/poppops-groove
1329585082,POP,11 October 2021,0,0,448,20:29:07,,https://soundcloud.com/computerkim/sets/pop
1326357079,Pop,5 October 2021,0,0,398,16:38:54,,https://soundcloud.com/megan-hampshire-704568271/sets/pop
,pop,24 August 2019,5,0,439,31:33:15,,https://soundcloud.com/sdr-amir-556987114/sets/pop
334601259,pop,1 July 2017,1,0,458,48:51:13,,https://soundcloud.com/achmad-indrajit/sets/pop
693046755,pop,24 January 2019,3,0,433,32:25:56,,https://soundcloud.com/sdr-amir/sets/pop
