user_id,full_name,username,track_id,followers_count
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,979825330,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,272742307,23517
171315858,Chill~90s Sample~Rap~Instrumentals Slow~Acoustic~Anime~Sad~Love~2021,⏬ DavidSanyaBeats.com║Type~Beat~Instrumental~Beats,982549636,23517
734567434,null,Flybread Cashtro,811012129,97
106819650,Akachi bgd,Akachi2real,820430476,135
59652423,Asante Farid,Asante Farid,817296733,378
277037065,null,A1 the Yungn,808519810,35
229449111,null,Trap Beckham,822322570,9426
79100263,hotboy,Steven Moses,408774714,24191
754782652,Alex Pluuged,AlexPluggedUp,775509226,1978
758659129,Shaq,ShaqWave ENT,820087168,37
625957221,Don't worry about it,YMEQUAI,737967850,367
556144965,null,Datura,821923768,258
2089849,KOTA The Friend,KOTA The Friend,812638540,65806
118017291,Nick Santana,YBN Nahmir,778322338,356872
62951948,null,Kateel,729866320,4173
294810691,2900 Racers,Lil Tecca ✰,755616769,565887
93296861,null,Billy Marchiafava,748254094,54015
152984009,Lukasz Ru-Kasu,Casual Connection,645600924,34222
152984009,Lukasz Ru-Kasu,Casual Connection,483671364,34222
152984009,Lukasz Ru-Kasu,Casual Connection,445840737,34222
16881819,Marathon,Mr. Marathon,125847715,9181
303758819,Shea Johnson,Shea Mills,762951682,762
4634238,Reggie Rude,Ravishing Reggie Rude,849699943,185
152984009,Lukasz Ru-Kasu,Casual Connection,852415573,34222
35321221,lil stove,$teven Cannon,829178299,47566
35321221,lil stove,$teven Cannon,814200736,47566
7809584,Young Kwe,K.W.E.S.I.,854035570,2296
35321221,lil stove,$teven Cannon,537626529,47566
35321221,lil stove,$teven Cannon,377423354,47566
35321221,lil stove,$teven Cannon,334631000,47566
35321221,lil stove,$teven Cannon,202678839,47566
35321221,lil stove,$teven Cannon,310156384,47566
1435740,Sheldon Elvin,COMPLETE,214634964,23199
1435740,Sheldon Elvin,COMPLETE,176742392,23199
1435740,Sheldon Elvin,COMPLETE,148504174,23199
1435740,Sheldon Elvin,COMPLETE,144755819,23199
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,142847024,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,159622336,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,125979191,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,109242445,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,71936202,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,66959796,4818
1435740,Sheldon Elvin,COMPLETE,122423893,23199
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,50789211,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,168268593,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,163950841,4818
10688675,Aaron  DVaz,Bitter Belief - WC/SBX,141151934,4818
32362502,Bok Nero,Bok Nero,761143828,2446
32362502,Bok Nero,Bok Nero,761149717,2446
145531895,Hard As Fuck,✞HAF Mafia✞,757433584,8125
691044317,null,FRANK STACKS,727676347,42
309055744,null,A$PECT,755301247,107
633703443,null,SlittyJ,760992694,112
238517713,NOM Official,NOM,729877942,227
93296861,null,Billy Marchiafava,760790344,54015
509100138,null,Mo Lotto,721350178,4072
92474387,"UM6F umbrella hat, ZT Unix, G-CON, BHOLD",U N T I L M E 6 F E E T (o t i c a h),763831708,4082
158565009,Intergalactic Super Rockstar,Blvck Jagger,765811618,1110
67015694,null,Third Eye Collective,756797023,2317
38803868,null,DMB Gotti,767214532,25265
26489447,null,NeodotcoM,740277538,523
230894686,null,OBLUE,759622759,534
8600035,Bromance Records,BromanceRecords,244901268,80515
1545529,Matt Nash,Matt Nash,288690364,25930
135445471,null,Ying Cheng Chiu,188457990,7
1516695,Gio Giorgadze,Giorgi Giorgadze,107855586,195
25307093,null,sunshine project,61955954,56
119450093,null,Melsen,259686721,3203
57692636,null,Axtone,276771007,81284
628549,Mark Knight,Mark Knight,270041049,175555
175766,Spinnin' Records,Spinnin' Records,286134754,1722657
247973,Spreading wings since 2004,Flamingo Recordings,291126901,44752
170458188,null,Maxximize Records,287142215,55612
87139,Toolroom,Toolroom Records,287128544,167956
59405,House / Tech House / Deep Tech,Data Transmission,284915266,145583
87139,Toolroom,Toolroom Records,286157868,167956
87139,Toolroom,Toolroom Records,283197096,167956
128392976,DJ ICEK',DJ ICEK',705985033,2321
16539794,Tariq Trotter,Black Thought,907504285,6088
288173335,YOUNG MOGUL.,TruRebel Migs,810122011,16968
539508861,Ron Suno,Ron Suno,756895552,49396
38803868,null,DMB Gotti,915113350,25265
25146982,Timothy Mosley,Timbaland,239156654,67666
844362484,null,Mastecki Records,847552105,13902
4352976,null,Analog Robot,893908294,1013
4352976,null,Analog Robot,693506347,1013
4352976,null,Analog Robot,593872119,1013
4352976,null,Analog Robot,562671084,1013
4352976,null,Analog Robot,480875337,1013
4352976,null,Analog Robot,478076712,1013
4352976,null,Analog Robot,478076697,1013
4352976,null,Analog Robot,478076649,1013
28970722,Tory Lanez,Tory Lanez,627431076,821080
308721994,null,Kierra Luv,632844216,16184
53270642,Eric Matheus,COSMIC,634231068,35852
270832824,null,Trap Manny,629240505,11293
6969018,Tyga,Tyga,632793579,455108
6969018,Tyga,Tyga,631711503,455108
40174345,null,Travis Scott,480200517,2079748
207969362,null,YG,596414835,247083
459084606,Whats Good Music,whatsgoodmusic,622038918,25
282249232,null,Shenseea,621600744,29499
207969362,null,YG,611540943,247083
110031956,null,marshmello,611222175,1350146
56681963,null,2Scratch,606413973,26879
6969018,Tyga,Tyga,605210574,455108
56681963,null,2Scratch,595286385,26879
674383610,Pepsi Soonji,Pepsisoonji,740667373,150
180414357,Justin Morosoli,Jassey,794899843,2605
287884428,종원아 일루와,JP,803697136,2318
150751006,MΛCRØHΛRD,Macrohard,792426670,1890
731797288,null,Chris Capture,741460483,278
749371390,null,Good Trouble,802655965,1307
145015602,TSG KARRI,AI KARRI⌫,779430196,61
168730652,Brendyn Quinney,Kleko,785869543,86
265404222,Oleksandr Kryvoruk,IOINO Drugz 🔥 Beats 💯,790016740,2592
523481994,#4,n_mber4 // INVALID,552403515,3174
34527551,Ronnie Toms,Ronnie Toms,807172699,360
11631423,MethaPhorce Beats,MethaPhorce Beats,803757694,10766
509100138,null,Mo Lotto,801906010,4072
34794376,YoZ ™,YoZ,805052647,1137
825822,DJ 4B,4B,773806522,134307
37772847,null,Kaido,307354538,1934
154436257,null,Leavv,316588866,9980
136480136,Brian Stauffer,Brian Stauffer,191468318,18
20194539,null,gres,315409834,390
8388038,null,nymano,255281350,67674
229369073,null,Fixshyn,333321975,74
219644350,eva beatrice,eva gomi tenshi,321878951,9460
8388038,null,nymano,238543506,67674
5897876,Robert Diaz,EQ Beats,299261368,7257
12087856,null,Lé Real 現実,319914693,9819
12087856,null,Lé Real 現実,322314648,9819
14470630,null,aekasora,257678275,9366
4778037,+ma,plusma,289630895,19245
4174098,// ● ◐ ○ ◑ ● _,invention_,209029946,21002
45545334,Mr. 2-17,Mr. 2-17,197466255,3947
8973242,Jeezy,Jeezy,255856401,104036
120188265,null,Blac Youngsta,252186786,141041
67377000,LIL QUICKSCOPE,SKI MASK THE SLUMP GOD,264346288,1341787
35225382,null,FettyWap1738,296713407,645443
120188265,null,Blac Youngsta,225390165,141041
169720280,margaux elizabeth,margaux elizabeth,225319954,37
196186772,Trunksound,Trunksound,248302243,1258
72181005,Kodak Black,Kodak Black,268562421,1491632
174006135,null,Kanye West,255766537,1201621
670089,null,DJ SNAKE,100638909,964691
51186918,Trappers Only,fortrappersonly,173288094,48286
7397672,Dany ESSABER,Danydan,99535104,302
19077705,Yo Gotti,YoGottiKOM,149395901,154235
42831390,Y G,Just Re'd Up 2,89376183,13607
35228969,Your Daily Chilled Vibes!,Chillhop Music,909196993,177586
35228969,Your Daily Chilled Vibes!,Chillhop Music,917962075,177586
35228969,Your Daily Chilled Vibes!,Chillhop Music,901991203,177586
35228969,Your Daily Chilled Vibes!,Chillhop Music,443804262,177586
17003133,Joe Corfield,Joe Corfield,417005892,4193
35228969,Your Daily Chilled Vibes!,Chillhop Music,420089504,177586
35228969,Your Daily Chilled Vibes!,Chillhop Music,398492904,177586
4778037,+ma,plusma,417135627,19245
35228969,Your Daily Chilled Vibes!,Chillhop Music,409038150,177586
35228969,Your Daily Chilled Vibes!,Chillhop Music,390935727,177586
118792460,null,oatmello,400214514,8588
14637407,null,slr,307279701,8033
35974637,james,[ocean jams],204720886,17271
35228969,Your Daily Chilled Vibes!,Chillhop Music,307509143,177586
300761197,null,IOM,340193624,1466
102990157,null,Ok385i,196701030,1926
61170028,null,3M0J1,183056290,2466
55041348,Wiz  Khalifa,Wiz Khalifa,151290115,1217469
55041348,Wiz  Khalifa,Wiz Khalifa,208652655,1217469
6332122,Jim Haase,Jim Haase,142271730,109
116328567,Sasch,uunited_s_l,216380243,28
112746839,Joaquín Pardo,Joaquín Pardo,184377623,292
2418898,hannah,hanhan,8134275,119
205287262,jashaw muhammad,J.shaw,246391719,421
61890346,Yordano Hernández Kuchenbecker,Yordano  Hernández,197074070,408
113667782,null,Clockwork Indigo (FBZ+UA),168161591,58716
55041348,Wiz  Khalifa,Wiz Khalifa,270370991,1217469
15385256,ASAP Rocky,Live Love ASAP,63800084,207068
6573446,Madchild,Madchild,20912915,29286
17831236,Smexy CODMusic,SmexyCODMusic™,48190631,863
7081873,Rihanna,Rihanna,255769463,1957595
7081873,Rihanna,Rihanna,255769484,1957595
7081873,Rihanna,Rihanna,255769458,1957595
7081873,Rihanna,Rihanna,255769447,1957595
464806245,null,The Carters,459962688,7903
464806245,null,The Carters,459962703,7903
464806245,null,The Carters,459962733,7903
464806245,null,The Carters,459962706,7903
464806245,null,The Carters,459962670,7903
464806245,null,The Carters,459962691,7903
464806245,null,The Carters,459962640,7903
464806245,null,The Carters,459962700,7903
464806245,null,The Carters,459962715,7903
13298159,K. Michelle,K. Michelle,256204257,83763
13298159,K. Michelle,K. Michelle,379011812,83763
133307395,null,KTrax,186896557,1997
5736626,Flatbush ZOMBiES,Flatbush ZOMBiES,196867446,626844
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,196189089,1801099
100928688,null,The Smokers Club,188735343,41288
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,186783695,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,184691764,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,183517744,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,182675733,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,181837611,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,180538306,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,177520870,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,175166769,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,169971370,1801099
7071549,PROGRESSIVE ERA,PRO ERA RECORDS.,169444219,1801099
